Grid,Column,Row,Afroaster erucifolius,Alepidea natalensis,Alepidea setifera,Alepidea thodei,New alternate anthospermum,Anthospermum herbaceum,Anthospermum hispidulum,Anthospermum round,Anthoxanthum ecklonii,Arctotis arctoides,Argyrolobium marginatum,Athrixia fontana,Berkheya multijuga,Bulbostylis humulis,Bupleurum mundii,Carex killickii,Carex zuluensis,Cerastium arabidis,Commelina orchid,Corycium dracomontanum,Cotula hispida,Crassula lanceolata,Crassula natans,Crassula peploides,Crassula setulosa,Crassula tuberella,Craterocapsa tarsodes,Delosperma obtusum,Disa cephalotes,Disa fragrans,Dragon plant,Erica woodii,Erica woody white stem,Eumorphia prostrata,Felicia rosulata,Festuca caprina,Festuca costata,Festuca scabra,Ficinia stolonifera,Gazania krebsiana,Geranium multisectum,Geum capense,Glumicalyx lesuticus,Glumicalyx nutans,Glumicaylx flanaganii,Gnidia baurii,Grey daisy,Grey feathery daisy,Heichrysum trilineatum,Helichrysum albo-brunneum,Helichrysum bellum,Helichrysum flanaganii,Helichrysum gold flat inflorescence,Helichrysum linneatum,Helichrysum monticola,Helichrysum sessiloides,Helichrysum sp.1,Helichrysum subglomeratum,Hesperantha baurii,Hirpicium armerioides,Irid sandpaper,Isolepis sp.,Kniphofia ritualis,Limosella vesiculosa,Lobelia preslii,Long stalk 3 vein,Luzula africana,Merxmuellera drakensbergensis,Morph irid,Ornithogalum cf. juncifolium ,Oxalis obliquifolia,Pentameris airoides,Poa binata,Psammotropha mucronata,Purple bottom aster,Red stem herb,Romulea thodei,Ruschia sp.,Satyrium longicauda,Scabiosa columbaria,Sebaea sedoides,Senecio achilleifolius,Senecio asperulus,Senecio gramineus,Senecio harveianus,Senecio hastatus,Senecio macrocephalus,Senecio midvein,Senecio Sp1.,Senecio speciosus,Square-leaf morea,Succulent albuca,Succulent thistle,Tenaxia disticha,Thesium sp.,Ursinia montana,Wirey morea,Woody gazania,Wurmbea burttii,Zaluzianskya Sp.1
6,G,10,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,0.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,0.5,0.5,,4,,,,,,,,,,,,,,5,,,,,,,,,,,,,
6,H,10,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,0.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,0.5,0.5,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,
6,A,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,35,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,30,,,,,,,,,,,,,,5,,,,,,,,,,,,,
6,B,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0.5,15,,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,40,,,,,,,,,,,,,,2,,,,,,,,,,,,,
6,C,11,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,2,,30,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,0.5,,45,,,,,,,,,,,,,,1,,,,,,,,,,,,,
6,D,11,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,0.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,
6,E,11,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,0.5,,,,,,,,,,0.5,30,,4,,0.5,,,,,,,,,,,,,,,1,,,,,,,,,,,,0.5,,,,0.5,,4,0.5,,,,,,,,,,,,,2,,,,,0.5,,,,,,,,
6,F,11,,,,,,,,,,,,,2,0.5,,,,,,0.5,,,,,0.5,,,,,,,,,,,20,,2,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,3,,0.5,0.5,,6,,,,,,,,,8,,,,,1,,,,,,,,,,,,,
6,G,11,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,0.5,,,,,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,50,,0.5,0.5,,0.5,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
6,H,11,,,,,,,,,,,,,,,,,,0.5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,70,,0.5,0.5,,,,,,,,,,,,0.5,,,,1,,,,,0.5,,,,,,,,
6,A,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,12,,,,,,,,,,,,,,2,,,,,,,,,,,,,
6,B,12,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.5,,40,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,40,,,,,,,,,,,,,,3,,,,,,,,,,,,,
6,C,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,3,,,,,,,,,,,,,
6,D,12,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.5,,30,,2,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,10,,,,,,,,,1,,,,,4,,,,,,,,,,,,,
6,E,12,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,25,,2,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.5,0.5,,2,,,,,,,,,35,,,,,1,,,,,0.5,,,,,,,,
6,F,12,0.5,,,,,,,,,,,0.5,15,,,,,,,,,,,,1,0.5,,,,,,,,,,15,,2,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,,,,0.5,,2,,,,,,,,,25,,,,,0.5,,,,,0.5,,,,,,,,
6,G,12,*sinead thinks G,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,0.5,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,5,,,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,,,
6,H,12,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,1,,,0.5,,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,
6,A,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,15,,,,,,,,,,,,,,2,,,,,,,,,,,,,
6,B,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,45,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,5,,,,,,,,,,,,,,2,,,,,,,,,,,,,
6,C,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,15,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,15,0.5,,,,,,,,,,,,,1,,,,,,,,,,,,,
6,D,13,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,5,,10,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,8,,0.5,0.5,,8,,,,,,,,,0.5,,,,,2,,,,,,,,,,,,,
6,E,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,F,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,G,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,H,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,20,,10,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,15,,,,,,,,,,,,,,3,,,,,,,,,,,,,
6,B,14,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,4,,20,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,5,,,,,,,,,,,,0.5,,10,,,,,,,,,,,,,
6,C,14,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,8,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,10,,,,,,,,,,,,,,5,,,,,,,0.5,,,,,,
6,D,14,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,20,,,,,0.5,,,,,,,,,,,,,
6,E,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,F,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,G,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,H,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A,1,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,30,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,2,0.5,,,,0.5,,,,,,,,,1,,,,,,,0.5,,,,,,
4,B,1,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,30,,0.5,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,0.5,,3,,,,,0.5,,,,,,,,,0.5,,,,,,,0.5,,,,,,
4,C,1,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,25,,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,0.5,,1,0.5,,,0.5,0.5,,,,,,,,,2,,,,,,,,,,,,,
4,D,1,,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,30,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,0.5,,5,0.5,,,0.5,,,0.5,,,,,,,0.5,,,,,,,0.5,,0.5,,,,
4,D,2,,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,25,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,5,0.5,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,
4,C,2,,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,0.5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,10,,,,0.5,,,,,,,,,,1,,,,,,,,,,,,,
4,B,2,,,,0.5,,,,,0.5,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,15,,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,15,,,0.5,,2,,,,,,,0.5,,,,,,,0.5,,,,,,,1,,,,,,
4,A,2,,,,0.5,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,10,0.5,,,,0.5,,,,,,,,,0.5,,,,,,,0.5,,,,,,
4,A,3,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,0.5,0.5,0.5,0.5,,,,,,,,,,,,,1,,,,,,,,,,,,,
4,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,0.5,,15,0.5,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,,,
4,C,3,,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,10,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,0.5,,10,0.5,,,,0.5,0.5,,,,,,,,1,,,,,,,,,,,,,
4,D,3,,,,0.5,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,0.5,0.5,0.5,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,
4,D,4,,,,0.5,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,20,,1,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.5,5,,,0.5,,0.5,0.5,,,,,,,,,,,0.5,,0.5,,,,,,,5,,,,,,
4,C,4,,,,0.5,,,,,,,,,,1,,,,,,,,,,,,,0.5,,,,,,,,,10,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,0.5,,10,0.5,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,
4,B,4,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,0.5,0.5,20,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5
4,A,4,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,0.5,,5,0.5,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,0.5
4,A,5,,,,,,,,,,,,,,0.5,,,,,,,15,,0.5,,0.5,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,0.5,0.5,,,,,,,,,,,,,5,,,,,,,,,,,,,0.5
4,B,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,0.5,,5,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5
4,C,5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,20,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,10,,,0.5,,10,0.5,,,,,,,,,,,,,3,,,,,,,,,,,,,
4,D,5,,,,0.5,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,25,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,0.5,,0.5,,,,,,,,,,,,,,1,,,,,,,0.5,,,,,,
4,D,6,,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,30,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,,1,0.5,,,,,,,,,,,,,3,,,,,,,0.5,,,,,,
4,C,6,,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,30,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,,1,0.5,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,
4,B,6,,,,0.5,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,25,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,0.5,,,,,,,,,,,,,2,,,,,,,,0.5,,,,,0.5
4,A,6,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,0.5,,1,0.5,,,,,,,,,,,,,3,,,,,,,2,,,,,,
4,A,7,,,,0.5,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,30,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,0.5,0.5,,,,,,,,,,,0.5,,1,,,,,,,3,,,,,,
4,B,7,,,,0.5,,,,,,,,,,0.5,,,0.5,,,,,,,,0.5,,,,,,,,,,,25,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1,0.5,,,,,,,,,,,0.5,,0.5,,,,,,,1,,,,,,
4,C,7,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,10,1,0.5,,0.5,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,1,,,0.5,,,0.5,,,0.5,,,,,,,,,,3,,,,,,,0.5,,,,,,
4,D,7,,,0.5,0.5,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,15,15,1,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,0.5,,1,0.5,,,0.5,,0.5,,,,,,,,1,,,,,,,0.5,,,,,,
4,D,8,,,0.5,0.5,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,0.5,3,8,5,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,0.5,,5,0.5,,,0.5,,,,,,,,0.5,,1,,,,,,,0.5,0.5,,,,,
4,C,8,,,1,1,,,,,,,,,,0.5,,,1,,,,,,,,,,,,,,,,,,,0.5,40,,,0.5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,,,0.5,0.5,0.5,0.5,,,0.5,,,,,,,,1,,1,,,,,,,0.5,,,,,,
4,B,8,0.5,,,1,,,,,,,,,,0.5,,,1,,,,,,,,,,0.5,,,,,,,,,2,30,0.5,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,0.5,1,0.5,,,,0.5,,,,,,,,1,,0.5,,,,,,,0.5,,,,,,
4,A,8,0.5,,0.5,1,,,,,,,,,,1,,,0.5,,,,,,,,,,,,,,,,,,,20,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,0.5,0.5,1,0.5,,,0.5,,0.5,,,,,,1,,8,,,,,,,0.5,,,,,,
4,A,9,0.5,,0.5,0.5,,,,,0.5,,,,,1,,,0.5,,,,0.5,,0.5,,,,0.5,,,,,,,,0.5,15,0.5,0.5,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5,,0.5,0.5,,,0.5,,0.5,,,,,,2,,1,,,,,,,,0.5,,,,,
4,B,9,,,0.5,0.5,,,,,,,,,,0.5,,,1,,,,,,,,,,,,,,,,,,0.5,0.5,30,0.5,,0.5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,0.5,0.5,0.5,,,,0.5,,,,,,,,0.5,,0.5,,,,,,,,0.5,,,,,
4,C,9,,,0.5,0.5,,,0.5,,,,,,,0.5,,,1,,,,,,,,,,,,,,,,,,,,30,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5,10,1,0.5,,,0.5,,,,,,,,0.5,,0.5,,,,,,,,,,,,,
4,D,9,,,0.5,0.5,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,0.5,0.5,50,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,1,,0.5,0.5,,,0.5,,,,,,,,1,,1,,,,,,,,,,,,,
4,D,10,,,0.5,0.5,,,0.5,,,,,,,0.5,,,1,,,,,,,,,,,,,,,,,,,0.5,55,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,0.5,,0.5,0.5,,,,,0.5,,,,,,1,,0.5,,,,,,,,0.5,,,,,
4,C,10,,,0.5,0.5,,,0.5,,,,,,,0.5,,,0.5,,,,,,,,,,,,,0.5,,0.5,,,0.2,,45,,,0.5,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,0.5,5,,,,1,1,0.5,,,,,,,,,,,1,,0.5,,,,,,,,,,,,,
4,B,10,,,0.5,0.5,,,,,,,,,,0.5,,,0.5,,,,,,,,,,0.5,,,,,,,,0.5,5,15,0.5,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,15,,,0.5,0.5,0.5,0.5,,,0.5,,0.5,0.5,,,,,0.5,,0.5,,,,,,,,0.5,,,,,
4,A,10,,,,1,,,,,,,,,,0.5,,,0.5,,,,,,,,,,0.5,,,,,,,,,1,2,0.5,,0.5,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,0.5,,,1,,1,0.5,,,0.5,,0.5,0.5,,,,,0.5,,1,,,,,,,,0.5,0.5,,,,
4,H,1,,,1,0.5,,,,,0.5,,,,,0.5,,,0.5,,,,0.5,,,,,,0.5,,,,,,,,,15,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3,1,,,,,,,,,,0.5,,,1,,,,,,,3,,,,,,
4,G,1,,,1,0.5,,,,,0.5,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,30,0.5,0.5,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5,,5,0.5,,,0.5,,,,,,,0.5,,,0.5,,,,,,,8,,,,,,
4,F,1,,,1,0.5,,,,,1,,,,,0.5,,,0.5,,,,1,,,,,,,,,,,,,,1,10,1,1,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,0.5,0.5,2,0.5,,,0.5,,,,,,,,,,0.5,,,,,,,3,,1,,,,
4,E,1,,,0.5,0.5,,,,,,,,,,,,,0.5,,,,5,,,,,,,,,,,,,,,20,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,2,0.5,,,,,,0.5,,,,0.5,,,1,,,,,,,,,,,,,0.5
4,H,2,,,4,0.5,,,,,0.5,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,0.5,5,1,0.5,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,0.5,,,0.5,,5,0.5,,,0.5,,,0.5,,,,0.5,1,,0.5,,,,,,,,,12,,,,
4,G,2,,,2,0.5,,,,,0.5,,,,,0.5,,,0.5,,,,,,,,0.5,,,,,,,,,,0.5,10,10,1,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,0.5,,,0.5,0.5,3,0.5,,,0.5,,,2,,,,,0.5,,2,,,,,,,,,,,,,0.5
4,F,2,,,1,0.5,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,45,10,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,6,0.5,,,,,,1,,,,0.5,,,2,,,,,,,,,0.5,,,,0.5
4,E,2,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,45,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,,4,0.5,,,,,,,,,,,,,1,,,,,,,1,,,,,,
4,H,3,,,1,0.5,,,,,0.5,,,,,0.5,,,0.5,,,,0.5,,,,,,,,,,,,,,0.5,5,15,,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.5,0.5,,,0.5,,1,,,,,,,,,,,,1,,0.5,,,,,,,0.5,,5,,,,
4,G,3,,,1,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,15,5,0.5,,0.5,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,,,,0.5,1,,,0.5,,0.5,0.5,,,0.5,,,,,,,,3,,1,,,,,,,2,,3,,,,
4,F,3,,,1,0.5,,,,,0.5,,,,,0.5,,,,,,,0.5,,,,,,0.5,,,,,,,,,50,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,0.5,,5,0.5,,,,,,0.5,,,,0.5,,,3,,,,,,,0.5,,3,,,,
4,E,3,,,3,0.5,,,,,0.5,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,20,0.5,,,0.5,,,,,,,,,,2,,,,,,,5,,5,,,,0.5
4,H,4,,,0.5,,,,,,0.5,,,,,0.5,,,0.5,,,,0.5,,,,0.5,,,,,,,,,,,8,15,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,0.5,1,,,,,,,,,,,2,,1,,,,,,,5,,,,,,
4,G,4,,,1,,,,,,,,,,,0.5,,,0.5,,,,1,,,,0.5,,0.5,,,,,,,,,8,4,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,0.5,,3,0.5,,,,,,0.5,,,,,,,2,,,,,,,12,,0.5,,,,
4,F,4,,,0.5,,,,,,0.5,,,,,0.5,,,1,,,,,,,,,0.5,,,,,,,,,0.5,15,2,2,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0.5,0.5,,2,0.5,,,0.5,,,,,,,,,,1,,,,,,,20,,,,,,
4,E,4,,,1,,,,,,0.5,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,35,,1,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1,,,0.5,,4,1,,,,,,,,,,0.5,,,2,,,,,,,,,,,,,
4,H,5,,,1,0.5,,,,,0.5,,,,,0.5,,,0.5,,,0.5,3,,,,,,,,,,,,,,0.5,10,30,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,0.5,1,0.5,,,,,,,,,,0.5,1,,,,,,,,,3,,,,,,
4,G,5,,,1,,,,,,0.5,,,,,,,,0.5,,,,0.5,,,,,,,,,,,0.5,,,,40,1,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,3,0.5,,,0.5,,,,,,,0.5,,,3,,,,,,,3,,0.5,,,,
4,F,5,,,0.5,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,15,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3,0.5,,,,,,,,,,,,,6,,,,,,,30,,,,,,
4,E,5,,,1,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,20,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,,,0.5,,4,0.5,,,,,,,,,,,,,2,,,,,,,4,,,,,,
4,H,6,,,0.5,,,,,,0.5,,,,,0.5,,,0.5,,,,4,,,,,,,,,,,,,,,6,3,0.5,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,0.5,0.5,2,1,,,,,,,,,,,2,,2,,,,,,,6,,,,,,
4,G,6,,,1,,,,,,0.5,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,,25,1,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,5,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
4,F,6,,,1,0.5,,,,,0.5,,,,,0.5,,,0.5,,,,,,0.5,,0.5,,,,,,,,,,0.5,30,,0.5,,0.5,,,,,,,,,,0.5,,,,,,,,1,,,,,,,,,0.5,,,,0.5,1,2,0.5,,,,,,,,,,,0.5,,0.5,,,,,,,15,,0.5,,,,
