Grid,Column,Row,Afroaster erucifolius,Alepidea natalensis,Alepidea setifera,Alepidea thodei,New alternate anthospermum,Anthospermum herbaceum,Anthospermum hispidulum,Anthospermum round,Anthoxanthum ecklonii,Arctotis arctoides,Argyrolobium marginatum,Athrixia fontana,Berkheya multijuga,Bulbostylis humulis,Bupleurum mundii,Carex killickii,Carex zuluensis,Cerastium arabidis,Commelina orchid,Corycium dracomontanum,Cotula hispida,Crassula lanceolata,Crassula natans,Crassula peploides,Crassula setulosa,Crassula tuberella,Craterocapsa tarsodes,Delosperma obtusum,Disa cephalotes,Disa fragrans,Dragon plant,Erica woodii,Erica woody white stem,Eumorphia prostrata,Felicia rosulata,Festuca caprina,Festuca costata,Festuca scabra,Ficinia stolonifera,Gazania krebsiana,Geranium multisectum,Geum capense,Glumicalyx lesuticus,Glumicalyx nutans,Glumicaylx flanaganii,Gnidia baurii,Grey daisy,Grey feathery daisy,Heichrysum trilineatum,Helichrysum albo-brunneum,Helichrysum bellum,Helichrysum flanaganii,Helichrysum gold flat inflorescence,Helichrysum linneatum,Helichrysum monticola,Helichrysum sessiloides,Helichrysum sp.1,Helichrysum subglomeratum,Hesperantha baurii,Hirpicium armerioides,Irid sandpaper,Isolepis sp.,Kniphofia ritualis,Limosella vesiculosa,Lobelia preslii,Long stalk 3 vein,Luzula africana,Merxmuellera drakensbergensis,Morph irid,Ornithogalum cf. juncifolium ,Oxalis obliquifolia,Pentameris airoides,Poa binata,Psammotropha mucronata,Purple bottom aster,Red stem herb,Romulea thodei,Ruschia sp.,Satyrium longicauda,Scabiosa columbaria,Sebaea sedoides,Senecio achilleifolius,Senecio asperulus,Senecio gramineus,Senecio harveianus,Senecio hastatus,Senecio macrocephalus,Senecio midvein,Senecio Sp1.,Senecio speciosus,Square-leaf morea,Succulent albuca,Succulent thistle,Tenaxia disticha,Thesium sp.,Ursinia montana,Wirey morea,Woody gazania,Wurmbea burttii,Zaluzianskya Sp.1
6,A,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,2,,,,,,,,,,,,,,2,,,,,,,2,,,,,,
6,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,0.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,3,0.5,,,0.5,0.5,,0.5,,,,,,,3,,,,,,,10,0.5,,,,,
6,C,3,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,0.5,,,,,,,,1,10,,3,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,5,0.5,,,,,,3,,,,,,,3,,,,,,,0.5,0.5,,,,,
6,D,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,20,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0.5,,5,,,,0.5,,,1,,,,,,,2,,,,,,,20,,,,,,
6,E,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,35,,3,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,2,,,0.5,,2,0.5,,,,,,,,,,0.5,,,5,,,,,,,5,,,,,,
6,F,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,3,,,,,,,0.5,,,,0.5,,,2,,,,,,,0.5,,,,,,
6,G,3,,,,1,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,25,0.5,8,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,2,,,,,,,0.5,,,,,,,1,,,,,,,0.5,,,,,,
6,H,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,15,,1,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,,,0.5,,5,,,,,,,,,,,0.5,,,2,,,,,,,5,,,,,,
6,A,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50,,2,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,5,,,,,,0.5,,,,,,,,3,,,,,,,0.5,,,,,,
6,B,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,50,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,1,,10,1,,,,,,,,,,,,,1,,,,,,,,,,,,,
6,C,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,0.5,30,,0.5,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,1,,20,,,,0.5,0.5,,1,,,,,,,2,,,,,,,0.5,,,,,,
6,D,4,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,3,,,,,,,,,,,,,,3,,,,,,,10,,,,,,
6,E,4,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,10,,2,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,0.5,,1,,,,,,,,,,,0.5,,,0.5,,,,,,,,,,,,,
6,F,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,8,,3,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,1,0.5,,,0.5,,10,,,,,,,,,,,0.5,,,1,,,,,,,1,,,,,,
6,G,4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,10,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,8,,,,,,,0.5,,,,,,,0.5,,,,,,,1,,,,,,
6,H,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,20,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,2,,,,,,,,,,,,,,1,,,,,,,10,,,,,,
6,A,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,55,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,20,,,,,,,,,,,,,,1,,,,,,,2,,,,,,
6,B,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,45,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,45,,,,,,,0.5,,,,,,,3,,,,,,,5,,,,,,
6,C,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,25,,,,,,,,,,,,,,1,,,,,,,3,,,,,,
6,D,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,10,,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.5,,10,,,,,,,2,,,,,,,2,,,,,,,0.5,,,,,,
6,E,5,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.5,5,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,20,,0.5,0.5,,8,,,,,,,0.5,,,,0.5,,,1,,,,,,,,,,,,,
6,F,5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.5,5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,20,,,,,,,0.5,,,,0.5,,,1,,,,,,,1,,,,,,
6,G,5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1,15,,2,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,10,,,,,,,0.5,,,,0.5,,,2,,,,,,,2,,,,,,
6,H,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,15,,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,,,,,4,,,,,,,0.5,,,,0.5,,,1,,,,,,,2,,,,,,
6,A,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,50,,,,,,,,,,,,,,2,,,,,,,1,,,,,,
6,B,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,25,,,,,,,,,,,,,,1,,,,,,,1,,,,,,
6,C,6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,0.5,40,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0.5,,55,,,,,,,0.5,,,,,,,2,,,,,,,1,,,,,,
6,D,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,40,,,,1,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,2,,,0.5,,45,,,,,,,2,,,,,,,2,,,,,,,,,,,,,
6,E,6,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,15,0.5,5,,1,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,5,,,0.5,,10,,,,,,,0.5,,,,0.5,,,8,,,,,,,0.5,,,,,,
