Sample ID,Date,Grid,Cell,Species,Height (cm),Wet mass (mg),Chlorofil,Thickness (mm),FTT,Width at tear (mm),Number of leaves weighed,Dry mass (mg),Area (cm2),SLA,Image reference,Notes,
394,10/11/2023,1,C19,Alepedia setifera,0.5,16.6,1063,0.26,,,1,5,0.43,0.086,BG_20231110_022,,
395,10/11/2023,1,E19,Cotula hispida,2,9.9,1116,0.1,,,1,2.9,0.246,0.084827586,BG_20231110_023,,
396,10/11/2023,1,A19,Helichrysum subglomeratum,1,31.3,127,0.25,,,1,7.9,1.108,0.140253165,BG_20231110_023,,
397,10/11/2023,1,C19,Craterocapsa tarsodes,0.5,17.5,923,0.12,,,5,4.1,0.938,0.228780488,BG_20231110_023,,
398,10/11/2023,1,C19,Erica woodii,1,5.6,923,0.13,,,80,2.3,0.429,0.186617783,BG_20231110_024,78 leaves weighed but 90 counted on scan,
399,11/11/2023,3,D2,Festuca caprina,20,24,955,0.21,4.66,0.41,1,11.8,0.884,0.074915254,BG_20231111_001,,
400,11/11/2023,3,B2,Festuca costata,6,28.8,1173,0.19,0.36,3.08,1,9.5,1.785,0.187894737,BG_20231111_001,,
401,11/11/2023,3,B2,Festuca caprina,19,26.8,993,0.19,4.75,0.44,1,13.5,0.883,0.065407407,BG_20231111_001,,
402,11/11/2023,3,B2,Poa binnata,3,22.9,1008,0.15,3.39,2.57,1,8.9,1.202,0.13505618,BG_20231111_002,,
403,11/11/2023,3,D2,Tenaxia disticha,6,9.1,1101,0.14,3.73,0.37,1,3.7,0.323,0.087297297,BG_20231111_002,,
404,11/11/2023,3,B2,Tenaxia disticha,7,12.4,1031,0.16,2.07,0.34,1,5.4,0.463,0.085740741,BG_20231111_002,,
405,11/11/2023,3,D2,Festuca costata,3,15.2,1063,0.14,4.8,3.73,1,4.6,0.992,0.215652174,BG_20231111_003,,
406,11/11/2023,3,H2,Merxmuellera drakensbergensis,10,39.9,947,0.54,14.83,0.94,1,25.2,0.914,0.036269841,BG_20231111_003,,
407,11/11/2023,3,H2,Festuca caprina,16,27.7,947,0.17,4,0.33,1,13.6,0.9,0.066176471,BG_20231111_003,,
408,11/11/2023,3,F2,Tenaxia disticha,4,8.2,1035,0.15,4.93,0.74,1,3.2,0.256,0.08,BG_20231111_004,,
409,11/11/2023,3,C1,Festuca caprina,12,11,881,0.13,3.98,0.48,1,7.1,0.526,0.074084507,BG_20231111_004,,
410,11/11/2023,3,A1,Poa binnata,6,33.4,1078,0.1,2.27,2.84,1,14.6,1.926,0.131917808,BG_20231111_004,,
