Sample ID,Date,Grid,Cell,Species,Height (cm),Wet mass (mg),Chlorofil,Thickness (mm),FTT,Width at tear (mm),Number of leaves weighed,Dry mass (mg),Area (cm2),SLA,Image reference,Notes,
512,13/11/2023,3,D19,Poa binnata,13,36.7,,0.17,13.68,2.18,1,15.6,2.134,0.136794872,BG_20231113_003,,
513,13/11/2023,3,D19,Merxmuellera drakensbergensis,38,48.6,,0.81,24.33,0.68,1,33.6,1.001,0.029791667,BG_20231113_003,,
514,13/11/2023,3,D4,Festuca costata,13,46.9,,0.21,2.35,3.66,1,17.4,3.312,0.190344828,BG_20231113_004,,
515,13/11/2023,3,C5,Poa binnata,4,10.9,,0.23,7.79,3.06,1,4.3,0.606,0.140930233,BG_20231113_004,,
516,13/11/2023,3,A5,Merxmuellera drakensbergensis,25,94.6,,0.66,14.06,0.65,1,60.1,1.763,0.029334443,BG_20231113_004,,
517,13/11/2023,3,C8,Festuca caprina,17,28,,0.41,4.54,0.35,1,12.6,0.86,0.068253968,BG_20231113_005,,
518,13/11/2023,3,H9,Poa binnata,14,60.4,,0.2,9.89,2.52,1,25.9,3.574,0.137992278,BG_20231113_005,,
519,13/11/2023,3,D9,Merxmuellera drakensbergensis,52,131.4,,0.61,41.28,0.87,1,83.4,3.089,0.037038369,BG_20231113_005,,
520,13/11/2023,3,E10,Poa binnata,5,8.3,,0.17,1.35,1.54,1,2.8,0.511,0.1825,BG_20231113_006,,
521,13/11/2023,3,F12,Anthoxanthum ecklonii,7,37.7,,0.13,,,1,12.2,2.884,0.236393443,BG_20231113_006,Too short to do FTT,
522,13/11/2023,3,F19,Pentameris airoides,1,6.5,,0.18,2.24,5.95,2,2.6,0.382,0.146923077,BG_20231113_006,,
523,13/11/2023,3,F19,Anthoxanthum ecklonii,6,18.7,,0.17,2.87,3.15,1,6.5,1.285,0.197692308,BG_20231113_007,,
524,13/11/2023,3,F19,Poa binnata,7,42.1,,0.21,6.04,3.67,1,15.8,2.112,0.133670886,BG_20231113_007,,
525,13/11/2023,3,F19,Merxmuellera drakensbergensis,31,94.2,,0.69,23.25,1.01,1,63.6,1.646,0.025880503,BG_20231113_007,,
526,13/11/2023,3,H19,Tenaxia disticha,8,12.4,,0.34,3.5,0.51,1,5.9,0.292,0.049491525,BG_20231113_008,,
527,13/11/2023,3,H19,Poa binnata,13,59.7,,0.16,10.35,3.36,1,23.3,2.969,0.127424893,BG_20231113_008,,
528,13/11/2023,3,G20,Pentameris airoides,2,7.7,,0.09,0.75,1.64,2,3.2,0.493,0.1540625,BG_20231113_008,,
529,13/11/2023,3,H19,Festuca caprina,8,10.8,,0.2,3.41,0.48,1,5.9,0.395,0.066949153,BG_20231113_009,,
530,13/11/2023,3,E20,Merxmuellera drakensbergensis,34,182.4,,0.82,21.14,0.73,1,127.4,2.834,0.022244898,BG_20231113_009,,
531,13/11/2023,3,E20,Festuca caprina,12,9.6,,0.32,3.6,0.3,1,4.7,0.304,0.064680851,BG_20231113_009,,
532,13/11/2023,3,G20,Poa binnata,6,19.8,,0.12,5.56,3.24,1,7.7,1.113,0.144545455,BG_20231113_010,,
533,13/11/2023,3,A20,Pentameris airoides,1,7.1,,0.15,,,2,2.4,0.467,0.194583333,BG_20231113_010,Too short to do FTT,
534,13/11/2023,3,A20,Tenaxia disticha,9,8.4,,0.28,0.47,1.04,1,4.4,0.279,0.063409091,BG_20231113_010,,
535,13/11/2023,3,A20,Festuca caprina,12,11.8,,0.29,5.55,0.36,1,5.7,0.462,0.081052632,BG_20231113_011,,
536,13/11/2023,3,G5,Hirpicium armerioides,3,8.1,,0.51,,,2,2.1,0.207,0.098571429,BG_20231113_011,,
537,13/11/2023,3,F14,Gazania krebsiana,4,44.5,,0.51,,,1,11.7,1.018,0.087008547,BG_20231113_011,,
538,13/11/2023,3,H19,Psammotropha mucronata,2,6.1,,0.18,,,25,1.5,0.356,0.237333333,BG_20231113_012,18 leaves weighed but 24 leaves on scan,
539,13/11/2023,3,B19,Poa binnata,4,10.5,,0.13,2.6,2.05,1,4,0.679,0.16975,BG_20231113_012,,
540,13/11/2023,3,G16,Hirpicium armerioides,0.5,9.6,,0.41,,,1,2.6,0.203,0.078076923,BG_20231113_012,,
541,13/11/2023,3,D14,Psammotropha mucronata,0.5,5.5,,0.15,,,26,0.3,0.323,1.076666667,BG_20231113_013,only 7 leaves in envelope,
542,13/11/2023,3,F19,Gazania krebsiana,2,12.9,,0.41,,,1,3.8,0.318,0.083684211,BG_20231113_013,,
543,13/11/2023,3,A13,Ficinia stolonifera,2,5.1,,0.2,,,1,2.4,0.238,0.099166667,BG_20231113_013,,
544,13/11/2023,3,B4,Helichrysum monticola,2,49.7,,0.38,,,1,11.2,2.009,0.179375,BG_20231113_014,,
545,13/11/2023,3,F19,Alepidea natalensis,1,27.6,,0.3,,,1,6.6,0.835,0.126515152,BG_20231113_014,,
546,13/11/2023,3,D19,Ficinia stolonifera,5,6,,0.29,,,1,2.5,0.172,0.0688,BG_20231113_014,,
547,13/11/2023,3,A20,Crassula setulosa,1,12.4,,0.32,,,6,1.2,0.286,0.238333333,BG_20231113_015,only 4 leave,
548,13/11/2023,3,G20,Gazania krebsiana,5,66.5,,0.39,,,1,15.1,1.383,0.091589404,BG_20231113_015,,
549,13/11/2023,3,B19,Helichrysum trillineatum,15,10.4,,0.34,,,1,4.4,0.389,0.088409091,BG_20231113_015,,
550,13/11/2023,3,G10,Erica woodii,5,8.8,,0.17,,,60,4.1,0.374,0.091219512,BG_20231113_016,only 52 leaves weighed,
551,13/11/2023,3,A20,Craterocapsa tarsodes,0.5,5.5,,0.08,,,3,1.6,0.234,0.14625,BG_20231113_016,,
552,13/11/2023,3,D19,Felicia rosulata,0.5,27.8,,0.63,,,1,6,0.959,0.159833333,BG_20231113_016,,
553,13/11/2023,3,A20,Carex zuluensis,7,19.4,,0.22,,,1,8.7,1.014,0.116551724,BG_20231113_017,,
554,13/11/2023,3,C20,Psammotropha mucronata,2,5.4,,0.11,,,17,1.1,0.32,0.290909091,BG_20231113_017,14 leaves weighed 17 confirmed on scan,
555,13/11/2023,3,C16,Felicia rosulata,0.5,90,,0.58,,,1,20,1.764,0.0882,BG_20231113_017,,
556,13/11/2023,3,B19,Ficinia stolonifera,4,7.4,,0.44,,,1,3,0.219,0.073,BG_20231113_018,,
557,13/11/2023,3,A20,Helichrysum subglomeratum,4,15,,0.18,,,1,4.6,0.481,0.104565217,BG_20231113_018,,
558,13/11/2023,3,F6,Carex zuluensis,4,16,,0.21,,,1,6.7,0.802,0.119701493,BG_20231113_018,,
559,13/11/2023,3,E20,Ursinia montana,1,12.2,,0.42,,,1,2.7,0.309,0.114444444,BG_20231113_019,,
560,13/11/2023,3,E20,Senecio hastatus,0.5,23.6,,0.41,,,1, ,0.48,#VALUE!,BG_20231113_019,EMPTY,
561,13/11/2023,3,H19,Senecio hastatus,1,25.8,,0.67,,,1,4.3,0.477,0.110930233,BG_20231113_019,EMPTY,
562,13/11/2023,3,F9,Crassula setulosa,0.5,26,,0.34,,,6,5.2,0.624,0.12,BG_20231113_020,,
563,13/11/2023,3,G20,Crassula setulosa,2,28.7,,0.47,,,6,4.7,0.496,0.105531915,BG_20231113_020,5 leaves,
564,13/11/2023,3,E20,Carex zuluensis,3,13.2,,0.21,,,1,6.3,0.689,0.109365079,BG_20231113_020,,
565,13/11/2023,3,E13,Anthospermum hispidulum,19,7.1,,0.45,,,3,2.3,0.223,0.096956522,BG_20231113_021,,
566,13/11/2023,3,G20,Ficinia stolonifera,9,14.3,,0.3,,,1,5.6,0.59,0.105357143,BG_20231113_021,,
567,13/11/2023,3,G8,Thesium sp.,2,12,,0.56,,,1,4.4,0.208,0.047272727,BG_20231113_021,3 leaves ,
568,13/11/2023,3,E20,Felicia rosulata,0.5,102.7,,0.57,,,1,18,1.826,0.101444444,BG_20231113_022,,
569,13/11/2023,3,G20,Helichrysum subglomeratum,2,17,,0.28,,,1,4.8,0.585,0.121875,BG_20231113_022,,
570,13/11/2023,3,G20,Ursinia montana,1,8.7,,0.35,,,2,2.5,0.199,0.0796,BG_20231113_022,,
571,13/11/2023,3,D12,Ficinia stolonifera,2,6,,0.25,,,1,,0.211,#DIV/0!,BG_20231113_023,EMPTY,
572,13/11/2023,3,H12,Crassula setulosa,0.5,22.7,,0.31,,,7,1.3,0.386,0.296923077,BG_20231113_023,EMPTY,
573,13/11/2023,3,E8,Helichrysum trillineatum,16,11.4,,0.21,,,1,3.8,0.449,0.118157895,BG_20231113_023,,
574,13/11/2023,3,D19,Hirpicium armerioides,1,11.5,,0.36,,,1,3.1,0.273,0.088064516,BG_20231113_024,,
575,13/11/2023,3,H6,Senecio hastatus,3,26.9,,0.38,,,1,4.1,0.539,0.131463415,BG_20231113_024,,
576,13/11/2023,3,A16,Ficinia stolonifera,5,8.2, ,0.41,,,2,3.7,0.329,0.088918919,BG_20231113_024,,
577,13/11/2023,3,G13,Helichrysum subglomeratum,3,14.6,,0.2,,,1,4.3,0.637,0.148139535,BG_20231113_025,,
578,13/11/2023,3,A20,Senecio hastatus,2,34.2,,0.57,,,1,6.7,0.638,0.095223881,BG_20231113_025,,
579,13/11/2023,3,A8,Psammotropha mucronata,0.5,10.9,,0.12,,,25,2.1,0.561,0.267142857,BG_20231113_025,14 leaves weighed 26 on scan,
580,13/11/2023,3,C20,Gazania krebsiana,2,18.6,,0.27,,,1,5.1,0.409,0.080196078,BG_20231113_026,,
581,13/11/2023,3,A10,Ficinia stolonifera,6,7.9,,0.38,,,1,3.4,0.246,0.072352941,BG_20231113_026,,
582,13/11/2023,3,F17,Craterocapsa tarsodes,0.5,6,,0.31,,,3,1.4,0.334,0.238571429,BG_20231113_026,,
583,13/11/2023,3,H4,Felicia rosulata,0.5,102.1,,0.58,,,1,25.4,2.246,0.088425197,BG_20231113_027,,
584,13/11/2023,3,E5,Craterocapsa tarsodes,1,7,,0.22,,,2,2,0.229,0.1145,BG_20231113_027,,
585,13/11/2023,3,D6,Crassula setulosa,1,49.5,,0.18,,,6,7.2,0.991,0.137638889,BG_20231113_027,5 leaves weighed,
586,13/11/2023,3,A20,Succulent albuca,3,10.8,,0.42,,,1,,0.343,#DIV/0!,BG_20231113_028,EMPTY,
587,13/11/2023,3,F4,Helichrysum subglomeratum,4,17.5,,0.27,,,1,5.6,0.574,0.1025,BG_20231113_028,EMPTY,
588,13/11/2023,3,B19,Succulent albuca,3,7.9,,0.4,,,1,,0.253,#DIV/0!,BG_20231113_028,EMPTY,
589,13/11/2023,3,B19,Psammotropha mucronata,0.5,12.3,,0.12,,,25,2.2,0.599,0.272272727,BG_20231113_029,EMPTY,
590,13/11/2023,3,D17,Helichrysum subglomeratum,3,28.9,,0.33,,,1,6.6,0.985,0.149242424,BG_20231113_029,,
591,13/11/2023,3,C10,Felicia rosulata,0.5,141.5,,0.7,,,1,28.4,2.396,0.084366197,BG_20231113_029,,
592,13/11/2023,3,B9,Helichrysum subglomeratum,3,17.3,,0.23,,,1,5.2,0.616,0.118461538,BG_20231113_030,,
593,13/11/2023,3,C20,Ficinia stolonifera,7,7.1,,0.23,,,2,3.3,0.222,0.067272727,BG_20231113_030,,
594,13/11/2023,3,D19,Helichrysum subglomeratum,3,32,,0.22,,,1,8.3,1.088,0.131084337,BG_20231113_030,,
595,13/11/2023,3,F19,Ursinia montana,1,6.9,,0.72,,,1,3,0.127,0.042333333,BG_20231113_031,,
596,13/11/2023,3,H17,Senecio macrocephalus,0.5,576,,0.83,,,1,48.4,7.968,0.164628099,BG_20231113_031,,
597,13/11/2023,3,D19,Senecio hastatus,0.5,25.6,,0.46,,,1,4.2,0.49,0.116666667,BG_20231113_031,,
598,13/11/2023,3,H19,Helichrysum subglomeratum,4,15.7,,0.32,,,1,4.4,0.536,0.121818182,BG_20231113_032,,
599,13/11/2023,3,B19,Crassula setulosa,1,39.5,,0.75,,,6,7.4,0.604,0.081621622,BG_20231113_032,,
600,13/11/2023,3,F19,Hirpicium armerioides,1,9.3,,0.46,,,1,2.1,0.202,0.096190476,BG_20231113_032,,
601,13/11/2023,3,A20,Ursinia montana,1,8.8,,0.31,,,1,2.3,0.207,0.09,BG_20231113_033,,
602,13/11/2023,3,H19,Craterocapsa tarsodes,0.5,8.1,,0.3,,,1,1.5,0.328,0.218666667,BG_20231113_033,,
603,13/11/2023,3,B19,Senecio macrocephalus,1,100.2,,0.64,,,1,12.7,1.562,0.122992126,BG_20231113_033,,
604,13/11/2023,3,H14,Ursinia montana,1,6,,0.32,,,1,2.6,0.142,0.054615385,BG_20231113_034,,
605,14/11/2023,4,H13,Merxmuellera drakensbergensis,27,67.4,,0.6,8.88,0.74,1,47.1,1.314,0.027898089,BG_20231114_001,,
606,14/11/2023,4,G12,Festuca caprina,23,18.8,,0.2,4.39,0.38,1,8.8,0.777,0.088295455,BG_20231114_001,,
607,14/11/2023,4,C14,Poa binnata,8,47.6,,0.16,8.59,4.42,1,19.4,2.334,0.120309278,BG_20231114_001,,
608,14/11/2023,4,B10,Festuca costata,26,60.5,,0.19,3.97,3.52,1,24.2,3.549,0.146652893,BG_20231114_002,,
609,14/11/2023,4,G1,Tenaxia disticha,18,43.8,,0.42,9.74,2.38,1,22.4,1.053,0.047008929,BG_20231114_002,,
610,14/11/2023,4,B2,Merxmuellera drakensbergensis,32,179.6,,0.71,25.6,0.72,1,115,3.175,0.027608696,BG_20231114_002,,
611,14/11/2023,4,H2,Merxmuellera drakensbergensis,23,110.1,,0.66,40.06,0.83,1,73.9,2.022,0.027361299,BG_20231114_003,,
612,14/11/2023,4,G1,Tenaxia disticha,7,67.2,,0.19,10.32,2.48,1,32.3,1.644,0.050897833,BG_20231114_003,,
613,14/11/2023,4,G1,Festuca costata,11,42,,0.16,5.8,3.76,1,14.5,2.494,0.172,BG_20231114_003,,
614,14/11/2023,4,B2,Poa binnata,11,57.4,,0.2,4.85,4.8,1,25.3,2.743,0.108418972,BG_20231114_004,,
615,14/11/2023,4,D2,Tenaxia disticha,11,27.9,,0.2,17.2,2.58,1,15,1.074,0.0716,BG_20231114_004,,
616,14/11/2023,4,D2,Merxmuellera drakensbergensis,8,25.7,,0.59,16.8,0.61,1,16.2,0.616,0.038024691,BG_20231114_004,,
617,14/11/2023,4,F2,Festuca costata,22,69.7,,0.2,1.95,4.42,1,25.8,3.893,0.150891473,BG_20231114_005,,
618,14/11/2023,4,H2,Poa binnata,7,20,,0.08,7.48,3.17,1,9,1.236,0.137333333,BG_20231114_005,,
619,14/11/2023,4,H2,Tenaxia disticha,16,54.7,,26,21.54,3.16,1,32.2,2.154,0.06689441,BG_20231114_005,,
620,14/11/2023,4,E1,Festuca caprina,22,37.3,,0.27,6.7,0.32,1,17.5,1.178,0.067314286,BG_20231114_006,,
621,14/11/2023,4,E7,Poa binnata,8,62.7,,0.19,5.23,4.54,1,22.7,3.085,0.135903084,BG_20231114_006,,
622,14/11/2023,4,E7,Merxmuellera drakensbergensis,20,99,,0.66,31.25,0.59,1,67.5,1.997,0.029585185,BG_20231114_006,,
623,14/11/2023,4,G1,Festuca caprina,7,24.3,,0.38,4.76,0.26,1,11.2,0.829,0.074017857,BG_20231114_007,,
624,14/11/2023,4,H2,Anthoxanthum ecklonii,5,33.3,,0.15,4.53,4.61,1,9.6,2.431,0.253229167,BG_20231114_007,,
625,14/11/2023,4,F2,Festuca caprina,25,34.3,,0.3,4.45,0.48,1,17.3,1.365,0.078901734,BG_20231114_007,,
626,14/11/2023,4,F8,Festuca costata,18,67,,0.17,2.8,3.09,1,21.9,3.851,0.175844749,BG_20231114_008,,
627,14/11/2023,4,E1,Tenaxia disticha,7,55.5,,0.22,7.95,2.35,1,28.5,1.916,0.06722807,BG_20231114_008,,
628,14/11/2023,4,C9,Poa binnata,6,47.3,,0.18,19.63,4.7,1,22.5,2.397,0.106533333,BG_20231114_008,,
629,14/11/2023,4,A9,Tenaxia disticha,6,7.3,,0.24,1.42,0.33,1,3.5,0.28,0.08,BG_20231114_009,,
630,14/11/2023,4,B5,Poa binnata,17,44.3,,0.15,14.57,3.65,1,16.6,2.507,0.151024096,BG_20231114_009,,
631,14/11/2023,4,G6,Festuca caprina,20,19.9,,0.3,3.51,0.37,1,9.6,0.553,0.057604167,BG_20231114_009,,
632,14/11/2023,4,G4,Festuca costata,13,50.2,,0.15,1.8,3.53,1,10.4,1.972,0.189615385,BG_20231114_010,,
633,14/11/2023,4,C1,Merxmuellera drakensbergensis,17,52.2,,0.61,23.84,0.52,1,34.9,1.152,0.033008596,BG_20231114_010,,
634,14/11/2023,4,C1,Poa binnata,4,40,,0.2,12.9,4.92,1,16.6,1.741,0.104879518,BG_20231114_010,,
635,14/11/2023,4,D5,Merxmuellera drakensbergensis,26,62.2,,0.62,17.87,0.98,1,41.1,1.395,0.033941606,BG_20231114_011,,
636,14/11/2023,4,C6,Pentameris airoides,1,6.4,,0.08,,,2,2,0.41,0.205,BG_20231114_011,too short to do FTT,
637,14/11/2023,4,E4,Tenaxia disticha,8,56.1,,0.15,6.53,2.74,1,28.4,2.134,0.075140845,BG_20231114_011,,
638,14/11/2023,4,F5,Festuca caprina,29,32.5,,0.32,6.12,0.41,1,16.1,1.209,0.075093168,BG_20231114_012,,
639,14/11/2023,4,C1,Festuca caprina,17,26.2,,0.3,4.09,0.32,1,11.8,0.83,0.070338983,BG_20231114_012,,
640,14/11/2023,4,A1,Poa binnata,8,50.7,,0.15,6.29,3.5,1,20.8,2.496,0.12,BG_20231114_012,,
641,14/11/2023,4,A1,Festuca caprina,19,29.4,,0.3,1.57,0.23,1,13.1,1.038,0.079236641,BG_20231114_013,,
642,14/11/2023,4,A1,Tenaxia disticha,15,32.9,,0.25,13.93,2.14,1,17.5,1.413,0.080742857,BG_20231114_013,,
643,14/11/2023,4,C1,Helichrysum albo-brunneum,2,83.7,,0.57,,,1,15.2,1.998,0.131447368,BG_20231114_013,,
644,14/11/2023,4,C16,Ficinia stolonifera,4,11.6,,0.27,,,2,4.9,0.428,0.087346939,BG_20231114_014,,
645,14/11/2023,4,B2,Senecio macrocephalus,2,915,,0.62,,,1,61.3,12.589,0.205367047,BG_20231114_014,2 leaves,
646,14/11/2023,4,H2,Alepidea setifera,2,38.5,,0.26,,,1,8.7,1.296,0.148965517,BG_20231114_014,,
647,14/11/2023,4,A12,Alepidea setifera,1,23.6,,0.29,,,1,7.3,0.782,0.107123288,BG_20231114_015,,
648,14/11/2023,4,D2,Crassula setulosa,2,27,,0.43,,,6,3.4,0.64,0.188235294,BG_20231114_015,,
649,14/11/2023,4,G1,Alepidea setifera,4,52.4,,0.27,,,1,12.1,1.603,0.132479339,BG_20231114_015,,
650,14/11/2023,4,E6,Helichrysum albo-brunneum,0.5,61.5,,0.31,,,1,9.6,2.166,0.225625,BG_20231114_016,,
651,14/11/2023,4,F16,Kniphofia ritualis,3,146.3,,0.74,,,1,13.3,1.675,0.12593985,BG_20231114_016,,
652,14/11/2023,4,G1,Ficinia stolonifera,2,6.7,,0.08,,,1,2.8,0.212,0.075714286,BG_20231114_016,,
653,14/11/2023,4,E12,Senecio macrocephalus,0.5,106.1,,0.48,,,1,11.7,1.623,0.138717949,BG_20231114_017,,
654,14/11/2023,4,E1,Scabiosa columbaria,1,44.2,,0.71,,,1,8.3,1.298,0.156385542,BG_20231114_017,,
655,14/11/2023,4,H5,Felicia rosulata,0.5,259.7,,0.9,,,1,64.7,5.69,0.087944359,BG_20231114_017,,
656,14/11/2023,4,H2,Gazania krebsiana,8,63.5,,0.33,,,1,14.4,1.403,0.097430556,BG_20231114_018,,
657,14/11/2023,4,E1,Felicia rosulata,0.5,77,,0.42,,,1,16.4,1.792,0.109268293,BG_20231114_018,,
658,14/11/2023,4,H2,Ficinia stolonifera,4,7.5,,0.15,,,1,3.5,0.191,0.054571429,BG_20231114_018,,
659,14/11/2023,4,G1,Ursinia montana,1,5.9,,0.56,,,1,1.2,0.132,0.11,BG_20231114_019,,
660,14/11/2023,4,D2,Psammotropha mucronata,0.5,5.3,,0.15,,,7,1,0.301,0.301,BG_20231114_019,,
661,14/11/2023,4,E1,Gazania krebsiana,2,26.6,,0.38,,,1,6.8,0.571,0.083970588,BG_20231114_019,,
662,14/11/2023,4,B16,Succulent albuca,4,9.8,,0.25,,,1,4.2,0.328,0.078095238,BG_20231114_020,,
663,14/11/2023,4,H2,Helichrysum subglomeratum,3,33.6,,0.2,,,1,8.3,1.281,0.154337349,BG_20231114_020,,
664,14/11/2023,4,H2,Crassula setulosa,1,65.5,,1.2,,,6,10.3,1.042,0.101165049,BG_20231114_020,,
665,14/11/2023,4,A13,Craterocapsa tarsodes,2,9.6,,0.21,,,2,2.3,0.435,0.189130435,BG_20231114_021,,
666,14/11/2023,4,F10,Thesium sp.,1.5,5.7,,0.28,,,6,1.9,0.21,0.110526316,BG_20231114_021,,
667,14/11/2023,4,D8,Alepidea setifera,1,41.5,,0.29,,,1,14.1,1.307,0.092695035,BG_20231114_021,,
668,14/11/2023,4,G1,Pentameris airoides,1,6.1,,0.28,,,2,2.1,0.354,0.168571429,BG_20231114_022,,
669,14/11/2023,4,C1,Psammotropha mucronata,0.5,5.6,,0.17,,,8,1,0.293,0.293,BG_20231114_022,6 leaves weighed but 7 found on scan ,
670,14/11/2023,4,H10,Cotula hispida,2,13.6,,0.38,,,1,4,0.326,0.0815,BG_20231114_022,,
671,14/11/2023,4,E9,Gazania krebsiana,4,25.3,,0.54,,,1,5.9,0.584,0.098983051,BG_20231114_023,,
672,14/11/2023,4,E1,Alepidea setifera,0.5,40.3,,0.32,,,1,11.1,1.252,0.112792793,BG_20231114_023,,
673,14/11/2023,4,C4,Delosperma obtusum,1,365.5,,2.33,,,6,16.8,2.396,0.142619048,BG_20231114_023,,
674,14/11/2023,4,G1,Anthoxanthum ecklonii,4,15.2,,0.13,0.81,4.24,1,5,1.081,0.2162,BG_20231114_024,,
675,14/11/2023,4,E1,Cotula hispida,3,12.6,,0.17,,,1,3.2,0.312,0.0975,BG_20231114_024,,
676,14/11/2023,4,A4,Senecio macrocephalus,5,732.8,,0.59,,,1,70.4,13.016,0.184886364,BG_20231114_024,,
677,14/11/2023,4,B8,Senecio hastatus,1.5,37.1,,0.24,,,1,4.7,0.786,0.167234043,BG_20231114_025,,
678,14/11/2023,4,G1,Gazania krebsiana,3,18.3,,0.4,,,1,4.8,0.348,0.0725,BG_20231114_025,,
679,14/11/2023,4,C1,Gazania krebsiana,2,13.4,,0.58,,,1,3.1,0.32,0.103225806,BG_20231114_025,,
680,14/11/2023,4,A6,Zaluzianskya Sp1,1,50.7,,0.41,,,1,9.3,1.198,0.128817204,BG_20231114_026,,
681,14/11/2023,4,B14,Felicia rosulata,2,62.2,,0.38,,,1,14.1,1.409,0.099929078,BG_20231114_026,,
682,14/11/2023,4,C12,Carex zuluensis,6,46.4,,0.27,,,1,11.8,1.258,0.106610169,BG_20231114_026,,
683,14/11/2023,4,G17,Oxalis obliquifolia,1,11.1,,0.19,,,1,1.8,0.503,0.279444444,BG_20231114_027,,
684,14/11/2023,4,G1,Scabiosa columbaria,2,23.6,,0.2,,,1,6,0.99,0.165,BG_20231114_027,,
685,14/11/2023,4,G1,Senecio macrocephalus,0.5,164.1,,0.81,,,1,11.6,2.151,0.185431034,BG_20231114_027,,
686,14/11/2023,4,D2,Alepidea setifera,0.5,86.2,,0.29,,,1,16.9,2.719,0.160887574,BG_20231114_028,,
687,14/11/2023,4,C1,Craterocapsa tarsodes,0.5,5.1,,0.2,,,3,1.1,0.191,0.173636364,BG_20231114_028,,
688,14/11/2023,4,A1,Senecio macrocephalus,2,196.6,,0.85,,,1,18,2.398,0.133222222,BG_20231114_028,,
689,14/11/2023,4,A1,Cotula hispida,3,46,,0.17,,,1,13.9,0.96,0.069064748,BG_20231114_029,,
690,14/11/2023,4,C1,Alepidea setifera,1,51.3,,0.3,,,1,13.1,1.521,0.11610687,BG_20231114_029,,
691,14/11/2023,4,C1,Senecio macrocephalus,0.5,498.6,,1.17,,,1,44.6,5.534,0.124080717,BG_20231114_029,,
692,14/11/2023,4,E17,Helichrysum lineatum,1,28.8,,0.87,,,1,6.1,0.879,0.144098361,BG_20231114_030,,
693,14/11/2023,4,E1,Psammotropha mucronata,0.5,6.8,,0.08,,,15,1.5,0.367,0.244666667,BG_20231114_030,,
694,14/11/2023,4,C1,Delosperma obtusum,1,268.9,,1.53,,,6,14.5,1.813,0.125034483,BG_20231114_030,,
695,14/11/2023,4,F2,Senecio macrocephalus,2,698.9,,0.81,,,1,52.1,8.808,0.169059501,BG_20231114_031,,
696,14/11/2023,4,G9,Ursinia montana,1,7.7,,0.41,,,1,2.6,0.18,0.069230769,BG_20231114_031,,
697,14/11/2023,4,D16,Crassula setulosa,2,26.6,,0.72,,,6,4.3,0.577,0.134186047,BG_20231114_031,,
698,14/11/2023,4,F2,Scabiosa columbaria,5,73.9,,0.33,,,1,17.3,1.875,0.108381503,BG_20231114_032,,
699,14/11/2023,4,F2,Alepidea setifera,1,47.7,,0.42,,,1,13.4,1.55,0.115671642,BG_20231114_032,,
700,14/11/2023,4,G1,Helichrysum subglomeratum,3,23,,0.22,,,1,6.2,0.911,0.146935484,BG_20231114_032,,
701,14/11/2023,4,H2,Scabiosa columbaria,3,41.6,,0.46,,,1,8.7,1.16,0.133333333,BG_20231114_033,,
702,14/11/2023,4,H8,Helichrysum subglomeratum,4,34.9,,0.27,,,1,8,1.255,0.156875,BG_20231114_033,,
703,14/11/2023,4,D10,Ficinia stolonifera,3,8.3,,0.12,,,1,3.6,0.278,0.077222222,BG_20231114_033,,
704,14/11/2023,4,G1,Senecio macrocephalus,2,387.2,,0.96,,,1,35,5.231,0.149457143,BG_20231114_034,,
705,14/11/2023,4,H2,Ursinia montana,0.5,6.6,,0.44,,,1,1.8,0.173,0.096111111,BG_20231114_034,,
706,14/11/2023,4,B2,Cotula hispida,0.5,8.7,,0.26,,,1,1.1,0.42,0.381818182,BG_20231114_034,,
707,15/11/2023,5,B2,Poa binnata,8,30.1,,0.15,7.11,2.3,1,10.9,1.498,0.137431193,BG_20231115_001,,
708,15/11/2023,5,B2,Festuca caprina,18,13.2,,0.4,5.8,0.75,1,6.9,0.442,0.064057971,BG_20231115_001,,
709,15/11/2023,4,C20,Poa binnata,18,26.6,,0.21,5.11,3.24,1,10.5,1.727,0.16447619,BG_20231115_001,,
710,15/11/2023,4,B19,Merxmuellera drakensbergensis,13,20.1,,0.55,25.86,0.8,1,13.4,0.45,0.03358209,BG_20231115_002,,
711,15/11/2023,4,G20,Poa binnata,17,125.1,,0.21,26.4,4.58,1,48.8,5.8,0.118852459,BG_20231115_002,,
712,15/11/2023,4,C20,Merxmuellera drakensbergensis,27,82.3,,0.81,32.64,0.24,1,51.3,1.639,0.031949318,BG_20231115_002,,
713,15/11/2023,4,B19,Anthoxanthum ecklonii,3,11.8,,0.14,1.11,3.65,1,3.7,0.803,0.217027027,BG_20231115_003,,
714,15/11/2023,5,C1,Anthoxanthum ecklonii,4,18.4,,0.13,1.17,4.33,1,5.5,1.303,0.236909091,BG_20231115_003,,
715,15/11/2023,5,F2,Tenaxia disticha,9,31.5,,0.23,12.3,0.78,1,15.9,1.054,0.066289308,BG_20231115_003,,
716,15/11/2023,4,G20,Festuca caprina,10,7.5,,0.16,2.16,0.32,1,3.5,0.317,0.090571429,BG_20231115_004,,
717,15/11/2023,4,F19,Tenaxia disticha,17,58.5,,0.2,8.7,1.08,1,29.4,1.383,0.047040816,BG_20231115_004,,
718,15/11/2023,5,E1,Poa binnata,8,36,,0.14,14.06,3.77,1,14.9,2.293,0.153892617,BG_20231115_004,,
719,15/11/2023,5,D2,Merxmuellera drakensbergensis,13,56.1,,0.95,15.59,0.74,1,32.3,1.21,0.0374613,BG_20231115_005,,
